t,repeatability,bigint_repeatability,contributionS,thisS
141,2515456000,2515456000 (e0),7202474979328000 (e0),275884352818899986 (e0)
142,2509911279,2509911279 (e0),7339500131430753 (e0),283223852950330739 (e0)
143,2504374712,2504374712 (e0),7478022820036608 (e0),290701875770367347 (e0)
144,2498846293,2498846293 (e0),7618045279997125 (e0),298319921050364472 (e0)
145,2493326016,2493326016 (e0),7759569654130176 (e0),306079490704494648 (e0)
146,2487813875,2487813875 (e0),7902597993656625 (e0),313982088698151273 (e0)
147,2482309864,2482309864 (e0),8047132258636288 (e0),322029220956787561 (e0)
148,2476813977,2476813977 (e0),8193174318403173 (e0),330222395275190734 (e0)
149,2471326208,2471326208 (e0),8340725952000000 (e0),338563121227190734 (e0)
150,2465846551,2465846551 (e0),8489788848612001 (e0),347052910075802735 (e0)
151,2460375000,2460375000 (e0),8640364608000000 (e0),355693274683802735 (e0)
152,2454911549,2454911549 (e0),8792454740932773 (e0),364485729424735508 (e0)
153,2449456192,2449456192 (e0),8946060669618688 (e0),373431790094354196 (e0)
154,2444008923,2444008923 (e0),9101183728136625 (e0),382532973822490821 (e0)
155,2438569736,2438569736 (e0),9257825162866176 (e0),391790798985356997 (e0)
156,2433138625,2433138625 (e0),9415986132917125 (e0),401206785118274122 (e0)
157,2427715584,2427715584 (e0),9575667710558208 (e0),410782452828832330 (e0)
158,2422300607,2422300607 (e0),9736870881645153 (e0),420519323710477483 (e0)
159,2416893688,2416893688 (e0),9899596546048000 (e0),430418920256525483 (e0)
160,2411494821,2411494821 (e0),10063845518077701 (e0),440482765774603184 (e0)
161,2406104000,2406104000 (e0),10229618526912000 (e0),450712384301515184 (e0)
162,2400721219,2400721219 (e0),10396916217020593 (e0),461109300518535777 (e0)
163,2395346472,2395346472 (e0),10565739148589568 (e0),471675039667125345 (e0)
164,2389979753,2389979753 (e0),10736087797945125 (e0),482411127465070470 (e0)
165,2384621056,2384621056 (e0),10907962557976576 (e0),493319090023047046 (e0)
166,2379270375,2379270375 (e0),11081363738558625 (e0),504400453761605671 (e0)
167,2373927704,2373927704 (e0),11256291566972928 (e0),515656745328578599 (e0)
168,2368593037,2368593037 (e0),11432746188328933 (e0),527089491516907532 (e0)
169,2363266368,2363266368 (e0),11610727665984000 (e0),538700219182891532 (e0)
170,2357947691,2357947691 (e0),11790235981962801 (e0),550490455164854333 (e0)
171,2352637000,2352637000 (e0),11971271037376000 (e0),562461726202230333 (e0)
172,2347334289,2347334289 (e0),12153832652838213 (e0),574615558855068546 (e0)
173,2342039552,2342039552 (e0),12337920568885248 (e0),586953479423953794 (e0)
174,2336752783,2336752783 (e0),12523534446390625 (e0),599477013870344419 (e0)
175,2331473976,2331473976 (e0),12710673866981376 (e0),612187687737325795 (e0)
176,2326203125,2326203125 (e0),12899338333453125 (e0),625087026070778920 (e0)
177,2320940224,2320940224 (e0),13089527270184448 (e0),638176553340963368 (e0)
178,2315685267,2315685267 (e0),13281240023550513 (e0),651457793364513881 (e0)
179,2310438248,2310438248 (e0),13474475862336000 (e0),664932269226849881 (e0)
180,2305199161,2305199161 (e0),13669233978147301 (e0),678601503204997182 (e0)
181,2299968000,2299968000 (e0),13865513485824000 (e0),692467016690821182 (e0)
182,2294744759,2294744759 (e0),14063313423849633 (e0),706530330114670815 (e0)
183,2289529432,2289529432 (e0),14262632754761728 (e0),720792962869432543 (e0)
184,2284322013,2284322013 (e0),14463470365561125 (e0),735256433234993668 (e0)
185,2279122496,2279122496 (e0),14665825068120576 (e0),749922258303114244 (e0)
186,2273930875,2273930875 (e0),14869695599592625 (e0),764791953902706869 (e0)
187,2268747144,2268747144 (e0),15075080622816768 (e0),779867034525523637 (e0)
188,2263571297,2263571297 (e0),15281978726725893 (e0),795149013252249530 (e0)
189,2258403328,2258403328 (e0),15490388426752000 (e0),810639401679001530 (e0)
190,2253243231,2253243231 (e0),15700308165231201 (e0),826339709844232731 (e0)
191,2248091000,2248091000 (e0),15911736311808000 (e0),842251446156040731 (e0)
192,2242946629,2242946629 (e0),16124671163838853 (e0),858376117319879584 (e0)
193,2237810112,2237810112 (e0),16339110946795008 (e0),874715228266674592 (e0)
194,2232681443,2232681443 (e0),16555053814664625 (e0),891270282081339217 (e0)
195,2227560616,2227560616 (e0),16772497850354176 (e0),908042779931693393 (e0)
196,2222447625,2222447625 (e0),16991441066089125 (e0),925034220997782518 (e0)
197,2217342464,2217342464 (e0),17211881403813888 (e0),942246102401596406 (e0)
198,2212245127,2212245127 (e0),17433816735591073 (e0),959679919137187479 (e0)
199,2207155608,2207155608 (e0),17657244864000000 (e0),977337164001187479 (e0)
200,2202073901,2202073901 (e0),17882163522534501 (e0),995219327523721980 (e0)
201,2197000000,2197000000 (e0),18108570376000000 (e0),1013327897899721980 (e0)
202,2191933899,2191933899 (e0),18336463020909873 (e0),1031664360920631853 (e0)
203,2186875592,2186875592 (e0),18565838985881088 (e0),1050230199906512941 (e0)
204,2181825073,2181825073 (e0),18796695732029125 (e0),1069026895638542066 (e0)
205,2176782336,2176782336 (e0),19029030653362176 (e0),1088055926291904242 (e0)
206,2171747375,2171747375 (e0),19262841077174625 (e0),1107318767369078867 (e0)
207,2166720184,2166720184 (e0),19498124264439808 (e0),1126816891633518675 (e0)
208,2161700757,2161700757 (e0),19734877410202053 (e0),1146551769043720728 (e0)
209,2156689088,2156689088 (e0),19973097643968000 (e0),1166524866687688728 (e0)
210,2151685171,2151685171 (e0),20212782030097201 (e0),1186737648717785929 (e0)
211,2146689000,2146689000 (e0),20453927568192000 (e0),1207191576285977929 (e0)
212,2141700569,2141700569 (e0),20696531193486693 (e0),1227888107479464622 (e0)
213,2136719872,2136719872 (e0),20940589777235968 (e0),1248828697256700590 (e0)
214,2131746903,2131746903 (e0),21186100127102625 (e0),1270014797383803215 (e0)
215,2126781656,2126781656 (e0),21433058987544576 (e0),1291447856371347791 (e0)
216,2121824125,2121824125 (e0),21681463040201125 (e0),1313129319411548916 (e0)
217,2116874304,2116874304 (e0),21931308904278528 (e0),1335060628315827444 (e0)
218,2111932187,2111932187 (e0),22182593136934833 (e0),1357243221452762277 (e0)
219,2106997768,2106997768 (e0),22435312233664000 (e0),1379678533686426277 (e0)
220,2102071041,2102071041 (e0),22689462628679301 (e0),1402367996315105578 (e0)
221,2097152000,2097152000 (e0),22945040695296000 (e0),1425313037010401578 (e0)
222,2092240639,2092240639 (e0),23202042746313313 (e0),1448515079756714891 (e0)
223,2087336952,2087336952 (e0),23460465034395648 (e0),1471975544791110539 (e0)
224,2082440933,2082440933 (e0),23720303752453125 (e0),1495695848543563664 (e0)
225,2077552576,2077552576 (e0),23981555034021376 (e0),1519677403577585040 (e0)
226,2072671875,2072671875 (e0),24244214953640625 (e0),1543921618531225665 (e0)
227,2067798824,2067798824 (e0),24508279527234048 (e0),1568429898058459713 (e0)
228,2062933417,2062933417 (e0),24773744712485413 (e0),1593203642770945126 (e0)
229,2058075648,2058075648 (e0),25040606409216000 (e0),1618244249180161126 (e0)
230,2053225511,2053225511 (e0),25308860459760801 (e0),1643553109639921927 (e0)
231,2048383000,2048383000 (e0),25578502649344000 (e0),1669131612289265927 (e0)
232,2043548109,2043548109 (e0),25849528706453733 (e0),1694981140995719660 (e0)
233,2038720832,2038720832 (e0),26121934303216128 (e0),1721103075298935788 (e0)
234,2033901163,2033901163 (e0),26395715055768625 (e0),1747498790354704413 (e0)
235,2029089096,2029089096 (e0),26670866524632576 (e0),1774169656879336989 (e0)
236,2024284625,2024284625 (e0),26947384215085125 (e0),1801117041094422114 (e0)
237,2019487744,2019487744 (e0),27225263577530368 (e0),1828342304671952482 (e0)
238,2014698447,2014698447 (e0),27504500007869793 (e0),1855846804679822275 (e0)
239,2009916728,2009916728 (e0),27785088847872000 (e0),1883631893527694275 (e0)
240,2005142581,2005142581 (e0),28067025385541701 (e0),1911698918913235976 (e0)
241,2000376000,2000376000 (e0),28350304855488000 (e0),1940049223768723976 (e0)
242,1995616979,1995616979 (e0),28634922439291953 (e0),1968684146208015929 (e0)
243,1990865512,1990865512 (e0),28920873265873408 (e0),1997605019473889337 (e0)
244,1986121593,1986121593 (e0),29208152411857125 (e0),2026813171885746462 (e0)
245,1981385216,1981385216 (e0),29496754901938176 (e0),2056309926787684638 (e0)
246,1976656375,1976656375 (e0),29786675709246625 (e0),2086096602496931263 (e0)
247,1971935064,1971935064 (e0),30077909755711488 (e0),2116174512252642751 (e0)
248,1967221277,1967221277 (e0),30370451912423973 (e0),2146544964165066724 (e0)
249,1962515008,1962515008 (e0),30664297000000000 (e0),2177209261165066724 (e0)
250,1957816251,1957816251 (e0),30959439788942001 (e0),2208168700954008725 (e0)
251,1953125000,1953125000 (e0),31255875000000000 (e0),2239424575954008725 (e0)
252,1948441249,1948441249 (e0),31553597304531973 (e0),2270978173258540698 (e0)
253,1943764992,1943764992 (e0),31852601324863488 (e0),2302830774583404186 (e0)
254,1939096223,1939096223 (e0),32152881634646625 (e0),2334983656218050811 (e0)
255,1934434936,1934434936 (e0),32454432759218176 (e0),2367438088977268987 (e0)
256,1929781125,1929781125 (e0),32757249175957125 (e0),2400195338153226112 (e0)
257,1925134784,1925134784 (e0),33061325314641408 (e0),2433256663467867520 (e0)
258,1920495907,1920495907 (e0),33366655557803953 (e0),2466623319025671473 (e0)
259,1915864488,1915864488 (e0),33673234241088000 (e0),2500296553266759473 (e0)
260,1911240521,1911240521 (e0),33981055653601701 (e0),2534277608920361174 (e0)
261,1906624000,1906624000 (e0),34290114038272000 (e0),2568567722958633174 (e0)
262,1902014919,1902014919 (e0),34600403592197793 (e0),2603168126550830967 (e0)
263,1897413272,1897413272 (e0),34911918467002368 (e0),2638080045017833335 (e0)
264,1892819053,1892819053 (e0),35224652769185125 (e0),2673304697787018460 (e0)
265,1888232256,1888232256 (e0),35538600560472576 (e0),2708843298347491036 (e0)
266,1883652875,1883652875 (e0),35853755858168625 (e0),2744697054205659661 (e0)
267,1879080904,1879080904 (e0),36170112635504128 (e0),2780867166841163789 (e0)
268,1874516337,1874516337 (e0),36487664821985733 (e0),2817354831663149522 (e0)
269,1869959168,1869959168 (e0),36806406303744000 (e0),2854161237966893522 (e0)
270,1865409391,1865409391 (e0),37126330923880801 (e0),2891287568890774323 (e0)
271,1860867000,1860867000 (e0),37447432482816000 (e0),2928735001373590323 (e0)
272,1856331989,1856331989 (e0),37769704738633413 (e0),2966504706112223736 (e0)
273,1851804352,1851804352 (e0),38093141407426048 (e0),3004597847519649784 (e0)
274,1847284083,1847284083 (e0),38417736163640625 (e0),3043015583683290409 (e0)
275,1842771176,1842771176 (e0),38743482640421376 (e0),3081759066323711785 (e0)
276,1838265625,1838265625 (e0),39070374429953125 (e0),3120829440753664910 (e0)
277,1833767424,1833767424 (e0),39398405083803648 (e0),3160227845837468558 (e0)
278,1829276567,1829276567 (e0),39727568113265313 (e0),3199955413950733871 (e0)
279,1824793048,1824793048 (e0),40057856989696000 (e0),3240013270940429871 (e0)
280,1820316861,1820316861 (e0),40389265144859301 (e0),3280402536085289172 (e0)
281,1815848000,1815848000 (e0),40721785971264000 (e0),3321124322056553172 (e0)
282,1811386459,1811386459 (e0),41055412822502833 (e0),3362179734879056005 (e0)
